country,booking_count
PRT,339080
GBR,84728
FRA,72632
ESP,59822
DEU,50897
ITA,26264
IRL,23590
BEL,16282
BRA,15484
NLD,14658
USA,14595
CHE,12019
CN,8953
AUT,8820
SWE,7119
CHN,6986
POL,6405
ISR,4676
RUS,4382
NOR,4242
ROU,3479
NULL,3346
FIN,3108
DNK,3010
AUS,2982
AGO,2534
LUX,1995
MAR,1792
TUR,1729
HUN,1596
ARG,1491
JPN,1379
CZE,1197
IND,1050
KOR,924
GRC,896
DZA,721
SRB,707
HRV,700
MEX,588
EST,581
IRN,574
LTU,567
ZAF,553
BGR,525
NZL,518
COL,497
UKR,476
MOZ,469
SVK,455
CHL,448
THA,406
ISL,399
SVN,392
LVA,385
CYP,357
TWN,357
ARE,350
SAU,329
PHL,280
TUN,273
SGP,266
IDN,245
NGA,238
URY,224
EGY,217
LBN,217
PER,203
HKG,203
MYS,196
ECU,189
VEN,182
BLR,175
CPV,168
GEO,154
JOR,140
CRI,133
KAZ,133
MLT,126
GIB,126
OMN,119
AZE,119
KWT,112
MAC,112
QAT,105
IRQ,98
DOM,98
PAK,98
BIH,91
BGD,84
ALB,84
PRI,84
MDV,84
SEN,77
MKD,70
BOL,70
CMR,70
TJK,63
PAN,63
GNB,63
CUB,56
LBY,56
VNM,56
ARM,56
JEY,56
AND,49
LKA,49
MUS,49
JAM,42
CIV,42
KEN,42
MNE,35
FRO,35
BHR,35
SUR,35
CAF,35
BRB,28
GTM,28
PRY,28
ZWE,28
GAB,28
UZB,28
GHA,28
MCO,28
TZA,28
TMP,21
LIE,21
SYR,21
ETH,21
GGY,21
BEN,21
ZMB,14
COM,14
UGA,14
KNA,14
SYC,14
MWI,14
RWA,14
IMN,14
ATA,14
SLV,14
ABW,14
GLP,14
STP,14
KHM,14
TGO,14
MYT,14
LAO,14
GUY,7
LCA,7
NPL,7
MLI,7
BWA,7
FJI,7
BHS,7
DMA,7
CYM,7
NCL,7
SLE,7
BDI,7
MDG,7
UMI,7
SMR,7
ASM,7
KIR,7
HND,7
PYF,7
MMR,7
VGB,7
ATF,7
DJI,7
BFA,7
NIC,7
MRT,7
SDN,7
NAM,7
AIA,7
PLW,7
